0	[-0.935849   -0.84942806 -0.53708503 -0.7941034 ]	264
0	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	5959
0	[0.97670774 0.47306537 0.18882202 0.32045876]	59
0	[-0.92288428 -0.92962408 -0.79807642  0.45561825]	105
0	[-0.28059926  0.02786176  0.59690277  0.37460729]	115
0	[-0.83453391  0.98291123  0.02042495 -0.11064967]	113
0	[ 0.92304906  0.09189673 -0.72473908 -0.63104978]	266
0	[ 0.89614788  0.60501974 -0.65461233  0.9209311 ]	264
1	[-0.935849   -0.84942806 -0.53708503 -0.7941034 ]	118
1	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
1	[0.97670774 0.47306537 0.18882202 0.32045876]	113
1	[-0.92288428 -0.92962408 -0.79807642  0.45561825]	115
1	[-0.28059926  0.02786176  0.59690277  0.37460729]	719
1	[-0.83453391  0.98291123  0.02042495 -0.11064967]	420
1	[ 0.92304906  0.09189673 -0.72473908 -0.63104978]	267
1	[ 0.89614788  0.60501974 -0.65461233  0.9209311 ]	114
2	[-0.83453391 -0.66575268  0.59690277  0.37460729]	266
2	[-0.28059926  0.98291123  0.02042495 -0.11064967]	420
2	[-0.28059926  0.02786176  0.59690277  0.37460729]	269
2	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
2	[-0.83453391  0.98291123  0.02042495 -0.11064967]	118
2	[-0.28059926  0.02786176  0.59690277  0.37460729]	115
2	[-0.83453391 -0.56708063 -0.95769237 -0.19613425]	115
2	[ 0.37572134  0.98291123  0.02042495 -0.11064967]	114
3	[-0.28059926  0.98291123  0.02042495 -0.19613425]	115
3	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
3	[-0.28059926  0.98291123  0.02042495  0.37460729]	115
3	[-0.28059926  0.02786176  0.59690277 -0.11064967]	266
3	[-0.28059926  0.98291123 -0.95769237 -0.19613425]	115
3	[ 0.37572134 -0.56708063 -0.41024405 -0.11064967]	113
3	[ 0.37572134  0.02786176 -0.95769237 -0.19613425]	114
3	[-0.28059926 -0.56708063  0.59690277  0.37460729]	118
4	[-0.28059926  0.98291123  0.02042495 -0.19613425]	115
4	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
4	[-0.28059926  0.98291123  0.02042495  0.37460729]	114
4	[-0.28059926  0.02786176  0.59690277 -0.11064967]	115
4	[-0.28059926  0.98291123 -0.95769237 -0.19613425]	118
4	[ 0.37572134 -0.56708063 -0.41024405 -0.11064967]	264
4	[ 0.37572134  0.02786176 -0.95769237 -0.19613425]	120
4	[-0.28059926 -0.56708063  0.59690277  0.37460729]	115
5	[-0.28059926  0.98291123  0.02042495 -0.19613425]	269
5	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	728
5	[-0.28059926  0.98291123  0.02042495  0.37460729]	118
5	[-0.28059926  0.02786176  0.59690277 -0.11064967]	118
5	[-0.28059926  0.98291123 -0.95769237 -0.19613425]	115
5	[ 0.37572134 -0.56708063 -0.41024405 -0.11064967]	114
5	[ 0.37572134  0.02786176 -0.95769237 -0.19613425]	117
5	[-0.28059926 -0.56708063  0.59690277  0.37460729]	269
6	[ 0.37572134 -0.56708063  0.59690277 -0.11064967]	114
6	[-0.28059926 -0.56708063 -0.95769237  0.37460729]	118
6	[ 0.37572134  0.98291123  0.02042495 -0.19613425]	267
6	[-0.28059926 -0.56708063 -0.95769237 -0.11064967]	115
6	[-0.28059926 -0.56708063  0.59690277  0.37460729]	118
6	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
6	[-0.28059926  0.98291123  0.02042495  0.4776787 ]	115
6	[-0.28059926 -0.56708063  0.59690277 -0.19613425]	266
7	[ 0.37572134  0.98291123  0.59690277 -0.19613425]	271
7	[-0.28059926 -0.56708063  0.02042495 -0.19613425]	118
7	[ 0.37572134  0.98291123  0.02042495 -0.19613425]	113
7	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	275
7	[-0.28059926  0.98291123  0.02042495 -0.19613425]	269
7	[-0.62905958 -0.56708063  0.59690277 -0.19613425]	266
7	[-0.28059926 -0.56708063  0.59690277 -0.11064967]	115
7	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
8	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
8	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	728
8	[ 0.37572134  0.98291123  0.59690277 -0.19613425]	266
8	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
8	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
8	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	566
8	[ 0.37572134  0.98291123 -0.95769237 -0.11064967]	264
8	[ 0.37572134 -0.56708063  0.59690277 -0.19613425]	267
9	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
9	[ 0.37572134 -0.56708063 -0.95769237  0.73647467]	116
9	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	275
9	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
9	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
9	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	124
9	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1170
9	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1019
10	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	1623
10	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	113
10	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
10	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	1332
10	[ 0.37572134 -0.50524022 -0.95769237 -0.19613425]	127
10	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	264
10	[ 0.37572134 -0.56708063 -0.95769237 -0.11064967]	426
10	[ 0.37572134 -0.56708063 -0.95769237 -0.19613425]	415
